# Feed TDS,Temperature,TDS mg/L,Density,Osmotic Pressure
1.366460e-01,3.041500e+02,1.366460e-01,1.095025e+03,1.098458e+07
1.366460e-01,3.051500e+02,1.366460e-01,1.094568e+03,1.102084e+07
1.366460e-01,3.061500e+02,1.366460e-01,1.094110e+03,1.105668e+07
1.366460e-01,3.071500e+02,1.366460e-01,1.093650e+03,1.109212e+07
1.366460e-01,3.081500e+02,1.366460e-01,1.093188e+03,1.112715e+07
1.366460e-01,3.091500e+02,1.366460e-01,1.092723e+03,1.116179e+07
1.366460e-01,3.101500e+02,1.366460e-01,1.092257e+03,1.119603e+07
1.366460e-01,3.111500e+02,1.366460e-01,1.091788e+03,1.122988e+07
1.366460e-01,3.121500e+02,1.366460e-01,1.091317e+03,1.126334e+07
1.366460e-01,3.131500e+02,1.366460e-01,1.090844e+03,1.129643e+07
1.366460e-01,3.141500e+02,1.366460e-01,1.090369e+03,1.132914e+07
1.366460e-01,3.151500e+02,1.366460e-01,1.089892e+03,1.136147e+07
1.366460e-01,3.161500e+02,1.366460e-01,1.089412e+03,1.139344e+07
1.366460e-01,3.171500e+02,1.366460e-01,1.088929e+03,1.142504e+07
1.366460e-01,3.181500e+02,1.366460e-01,1.088445e+03,1.145628e+07
1.366460e-01,3.191500e+02,1.366460e-01,1.087958e+03,1.148716e+07
1.366460e-01,3.201500e+02,1.366460e-01,1.087469e+03,1.151769e+07
1.366460e-01,3.211500e+02,1.366460e-01,1.086977e+03,1.154786e+07
1.366460e-01,3.221500e+02,1.366460e-01,1.086483e+03,1.157769e+07
1.366460e-01,3.231500e+02,1.366460e-01,1.085986e+03,1.160717e+07
1.366460e-01,3.241500e+02,1.366460e-01,1.085487e+03,1.163632e+07
1.366460e-01,3.251500e+02,1.366460e-01,1.084986e+03,1.166512e+07
1.366460e-01,3.261500e+02,1.366460e-01,1.084482e+03,1.169358e+07
1.366460e-01,3.271500e+02,1.366460e-01,1.083976e+03,1.172171e+07
1.366460e-01,3.281500e+02,1.366460e-01,1.083467e+03,1.174952e+07
1.366460e-01,3.291500e+02,1.366460e-01,1.082956e+03,1.177699e+07
1.366460e-01,3.301500e+02,1.366460e-01,1.082443e+03,1.180413e+07
1.366460e-01,3.311500e+02,1.366460e-01,1.081927e+03,1.183096e+07
1.366460e-01,3.321500e+02,1.366460e-01,1.081409e+03,1.185746e+07
1.366460e-01,3.331500e+02,1.366460e-01,1.080888e+03,1.188364e+07
1.366460e-01,3.341500e+02,1.366460e-01,1.080365e+03,1.190950e+07
1.366460e-01,3.351500e+02,1.366460e-01,1.079840e+03,1.193505e+07
1.366460e-01,3.361500e+02,1.366460e-01,1.079312e+03,1.196029e+07
1.366460e-01,3.371500e+02,1.366460e-01,1.078782e+03,1.198521e+07
1.366460e-01,3.381500e+02,1.366460e-01,1.078250e+03,1.200982e+07
1.366460e-01,3.391500e+02,1.366460e-01,1.077715e+03,1.203413e+07
1.366460e-01,3.401500e+02,1.366460e-01,1.077178e+03,1.205813e+07
1.366460e-01,3.411500e+02,1.366460e-01,1.076639e+03,1.208182e+07
1.366460e-01,3.421500e+02,1.366460e-01,1.076097e+03,1.210522e+07
1.366460e-01,3.431500e+02,1.366460e-01,1.075553e+03,1.212831e+07
1.366460e-01,3.441500e+02,1.366460e-01,1.075007e+03,1.215109e+07
1.366460e-01,3.451500e+02,1.366460e-01,1.074459e+03,1.217358e+07
1.366460e-01,3.461500e+02,1.366460e-01,1.073908e+03,1.219578e+07
1.366460e-01,3.471500e+02,1.366460e-01,1.073356e+03,1.221767e+07
1.366460e-01,3.481500e+02,1.366460e-01,1.072801e+03,1.223927e+07
1.366460e-01,3.491500e+02,1.366460e-01,1.072244e+03,1.226058e+07
1.366460e-01,3.501500e+02,1.366460e-01,1.071684e+03,1.228159e+07
1.366460e-01,3.511500e+02,1.366460e-01,1.071123e+03,1.230231e+07
1.366460e-01,3.521500e+02,1.366460e-01,1.070560e+03,1.232274e+07
1.366460e-01,3.531500e+02,1.366460e-01,1.069994e+03,1.234288e+07
1.366460e-01,3.541500e+02,1.366460e-01,1.069427e+03,1.236272e+07
1.366460e-01,3.551500e+02,1.366460e-01,1.068857e+03,1.238228e+07
1.366460e-01,3.561500e+02,1.366460e-01,1.068285e+03,1.240155e+07
1.366460e-01,3.571500e+02,1.366460e-01,1.067712e+03,1.242054e+07
1.366460e-01,3.581500e+02,1.366460e-01,1.067136e+03,1.243923e+07
1.775197e-01,2.981500e+02,1.775197e-01,1.126635e+03,1.472441e+07
1.775197e-01,2.991500e+02,1.775197e-01,1.126130e+03,1.477718e+07
1.775197e-01,3.001500e+02,1.775197e-01,1.125626e+03,1.482929e+07
1.775197e-01,3.011500e+02,1.775197e-01,1.125124e+03,1.488076e+07
1.775197e-01,3.021500e+02,1.775197e-01,1.124622e+03,1.493158e+07
1.775197e-01,3.031500e+02,1.775197e-01,1.124120e+03,1.498178e+07
1.775197e-01,3.041500e+02,1.775197e-01,1.123619e+03,1.503136e+07
1.775197e-01,3.051500e+02,1.775197e-01,1.123119e+03,1.508033e+07
1.775197e-01,3.061500e+02,1.775197e-01,1.122619e+03,1.512869e+07
1.775197e-01,3.071500e+02,1.775197e-01,1.122118e+03,1.517646e+07
1.775197e-01,3.081500e+02,1.775197e-01,1.121618e+03,1.522364e+07
1.775197e-01,3.091500e+02,1.775197e-01,1.121118e+03,1.527024e+07
1.775197e-01,3.101500e+02,1.775197e-01,1.120617e+03,1.531627e+07
1.775197e-01,3.111500e+02,1.775197e-01,1.120116e+03,1.536173e+07
1.775197e-01,3.121500e+02,1.775197e-01,1.119615e+03,1.540663e+07
1.775197e-01,3.131500e+02,1.775197e-01,1.119113e+03,1.545097e+07
1.775197e-01,3.141500e+02,1.775197e-01,1.118610e+03,1.549477e+07
1.775197e-01,3.151500e+02,1.775197e-01,1.118107e+03,1.553804e+07
1.775197e-01,3.161500e+02,1.775197e-01,1.117603e+03,1.558076e+07
1.775197e-01,3.171500e+02,1.775197e-01,1.117099e+03,1.562296e+07
1.775197e-01,3.181500e+02,1.775197e-01,1.116593e+03,1.566463e+07
1.775197e-01,3.191500e+02,1.775197e-01,1.116087e+03,1.570579e+07
1.775197e-01,3.201500e+02,1.775197e-01,1.115580e+03,1.574643e+07
1.775197e-01,3.211500e+02,1.775197e-01,1.115072e+03,1.578657e+07
1.775197e-01,3.221500e+02,1.775197e-01,1.114562e+03,1.582620e+07
1.775197e-01,3.231500e+02,1.775197e-01,1.114052e+03,1.586534e+07
1.775197e-01,3.241500e+02,1.775197e-01,1.113541e+03,1.590398e+07
1.775197e-01,3.251500e+02,1.775197e-01,1.113029e+03,1.594213e+07
1.775197e-01,3.261500e+02,1.775197e-01,1.112515e+03,1.597980e+07
1.775197e-01,3.271500e+02,1.775197e-01,1.112000e+03,1.601699e+07
1.775197e-01,3.281500e+02,1.775197e-01,1.111485e+03,1.605370e+07
1.775197e-01,3.291500e+02,1.775197e-01,1.110968e+03,1.608994e+07
1.775197e-01,3.301500e+02,1.775197e-01,1.110449e+03,1.612571e+07
1.775197e-01,3.311500e+02,1.775197e-01,1.109930e+03,1.616102e+07
1.775197e-01,3.321500e+02,1.775197e-01,1.109409e+03,1.619586e+07
1.775197e-01,3.331500e+02,1.775197e-01,1.108887e+03,1.623025e+07
1.775197e-01,3.341500e+02,1.775197e-01,1.108364e+03,1.626418e+07
1.775197e-01,3.351500e+02,1.775197e-01,1.107840e+03,1.629765e+07
1.775197e-01,3.361500e+02,1.775197e-01,1.107315e+03,1.633068e+07
