# Feed TDS,Temperature,Feed Concentration,Enthalpy,Vap Pressure,Osmotic Pressure,Density
4.838276e-02,3.561500e+02,4.618333e+01,3.300510e+05,5.182140e+04,4.378963e+06,1.000724e+03
4.838276e-02,3.571500e+02,4.615419e+01,3.340370e+05,5.390693e+04,4.386798e+06,1.000093e+03
4.838276e-02,3.581500e+02,4.612485e+01,3.380237e+05,5.606380e+04,4.394572e+06,9.994571e+02
9.373868e-02,2.981500e+02,9.066339e+01,9.510555e+04,2.833184e+03,7.625397e+06,1.057856e+03
9.373868e-02,2.991500e+02,9.063001e+01,9.888982e+04,3.041019e+03,7.650619e+06,1.057467e+03
9.373868e-02,3.001500e+02,9.059622e+01,1.026748e+05,3.258984e+03,7.675698e+06,1.057073e+03
9.373868e-02,3.011500e+02,9.056200e+01,1.064606e+05,3.487302e+03,7.700634e+06,1.056673e+03
9.373868e-02,3.021500e+02,9.052738e+01,1.102471e+05,3.726220e+03,7.725426e+06,1.056269e+03
9.373868e-02,3.031500e+02,9.049234e+01,1.140344e+05,3.976015e+03,7.750074e+06,1.055861e+03
9.373868e-02,3.041500e+02,9.045690e+01,1.178223e+05,4.236994e+03,7.774577e+06,1.055447e+03
9.373868e-02,3.051500e+02,9.042105e+01,1.216110e+05,4.509488e+03,7.798934e+06,1.055029e+03
9.373868e-02,3.061500e+02,9.038480e+01,1.254004e+05,4.793859e+03,7.823146e+06,1.054606e+03
9.373868e-02,3.071500e+02,9.034815e+01,1.291904e+05,5.090497e+03,7.847212e+06,1.054178e+03
9.373868e-02,3.081500e+02,9.031111e+01,1.329811e+05,5.399819e+03,7.871132e+06,1.053746e+03
9.373868e-02,3.091500e+02,9.027367e+01,1.367726e+05,5.722270e+03,7.894904e+06,1.053309e+03
9.373868e-02,3.101500e+02,9.023584e+01,1.405646e+05,6.058324e+03,7.918529e+06,1.052868e+03
9.373868e-02,3.111500e+02,9.019761e+01,1.443574e+05,6.408483e+03,7.942006e+06,1.052422e+03
9.373868e-02,3.121500e+02,9.015901e+01,1.481507e+05,6.773276e+03,7.965335e+06,1.051971e+03
9.373868e-02,3.131500e+02,9.012001e+01,1.519448e+05,7.153260e+03,7.988514e+06,1.051516e+03
9.373868e-02,3.141500e+02,9.008064e+01,1.557394e+05,7.549023e+03,8.011545e+06,1.051057e+03
9.373868e-02,3.151500e+02,9.004088e+01,1.595347e+05,7.961178e+03,8.034426e+06,1.050593e+03
9.373868e-02,3.161500e+02,9.000075e+01,1.633306e+05,8.390367e+03,8.057158e+06,1.050125e+03
9.373868e-02,3.171500e+02,8.996024e+01,1.671271e+05,8.837259e+03,8.079738e+06,1.049652e+03
9.373868e-02,3.181500e+02,8.991936e+01,1.709242e+05,9.302554e+03,8.102169e+06,1.049175e+03
9.373868e-02,3.191500e+02,8.987811e+01,1.747220e+05,9.786977e+03,8.124448e+06,1.048694e+03
9.373868e-02,3.201500e+02,8.983650e+01,1.785203e+05,1.029128e+04,8.146575e+06,1.048208e+03
9.373868e-02,3.211500e+02,8.979451e+01,1.823192e+05,1.081625e+04,8.168551e+06,1.047718e+03
9.373868e-02,3.221500e+02,8.975216e+01,1.861187e+05,1.136270e+04,8.190374e+06,1.047224e+03
9.373868e-02,3.231500e+02,8.970945e+01,1.899188e+05,1.193146e+04,8.212045e+06,1.046726e+03
9.373868e-02,3.241500e+02,8.966638e+01,1.937194e+05,1.252340e+04,8.233562e+06,1.046223e+03
9.373868e-02,3.251500e+02,8.962296e+01,1.975206e+05,1.313942e+04,8.254927e+06,1.045717e+03
9.373868e-02,3.261500e+02,8.957917e+01,2.013224e+05,1.378044e+04,8.276137e+06,1.045206e+03
9.373868e-02,3.271500e+02,8.953504e+01,2.051248e+05,1.444740e+04,8.297194e+06,1.044691e+03
9.373868e-02,3.281500e+02,8.949055e+01,2.089277e+05,1.514130e+04,8.318096e+06,1.044172e+03
9.373868e-02,3.291500e+02,8.944571e+01,2.127312e+05,1.586313e+04,8.338844e+06,1.043649e+03
9.373868e-02,3.301500e+02,8.940053e+01,2.165352e+05,1.661393e+04,8.359436e+06,1.043121e+03
9.373868e-02,3.311500e+02,8.935500e+01,2.203397e+05,1.739476e+04,8.379873e+06,1.042590e+03
9.373868e-02,3.321500e+02,8.930913e+01,2.241448e+05,1.820672e+04,8.400155e+06,1.042055e+03
9.373868e-02,3.331500e+02,8.926291e+01,2.279505e+05,1.905092e+04,8.420280e+06,1.041516e+03
9.373868e-02,3.341500e+02,8.921636e+01,2.317567e+05,1.992852e+04,8.440248e+06,1.040972e+03
9.373868e-02,3.351500e+02,8.916947e+01,2.355634e+05,2.084068e+04,8.460060e+06,1.040425e+03
9.373868e-02,3.361500e+02,8.912224e+01,2.393707e+05,2.178861e+04,8.479715e+06,1.039874e+03
9.373868e-02,3.371500e+02,8.907468e+01,2.431785e+05,2.277355e+04,8.499213e+06,1.039319e+03
9.373868e-02,3.381500e+02,8.902678e+01,2.469868e+05,2.379675e+04,8.518553e+06,1.038760e+03
9.373868e-02,3.391500e+02,8.897856e+01,2.507956e+05,2.485949e+04,8.537735e+06,1.038198e+03
9.373868e-02,3.401500e+02,8.893000e+01,2.546050e+05,2.596311e+04,8.556758e+06,1.037631e+03
9.373868e-02,3.411500e+02,8.888112e+01,2.584149e+05,2.710893e+04,8.575623e+06,1.037061e+03
9.373868e-02,3.421500e+02,8.883191e+01,2.622254e+05,2.829834e+04,8.594329e+06,1.036487e+03
9.373868e-02,3.431500e+02,8.878238e+01,2.660364e+05,2.953273e+04,8.612875e+06,1.035909e+03
9.373868e-02,3.441500e+02,8.873252e+01,2.698479e+05,3.081353e+04,8.631262e+06,1.035327e+03
9.373868e-02,3.451500e+02,8.868235e+01,2.736599e+05,3.214219e+04,8.649489e+06,1.034742e+03
9.373868e-02,3.461500e+02,8.863185e+01,2.774724e+05,3.352021e+04,8.667556e+06,1.034152e+03
9.373868e-02,3.471500e+02,8.858104e+01,2.812855e+05,3.494909e+04,8.685462e+06,1.033560e+03
9.373868e-02,3.481500e+02,8.852991e+01,2.850991e+05,3.643037e+04,8.703207e+06,1.032963e+03
9.373868e-02,3.491500e+02,8.847846e+01,2.889133e+05,3.796563e+04,8.720791e+06,1.032363e+03
9.373868e-02,3.501500e+02,8.842670e+01,2.927280e+05,3.955646e+04,8.738214e+06,1.031759e+03
9.373868e-02,3.511500e+02,8.837463e+01,2.965432e+05,4.120448e+04,8.755474e+06,1.031151e+03
9.373868e-02,3.521500e+02,8.832225e+01,3.003589e+05,4.291135e+04,8.772573e+06,1.030540e+03
9.373868e-02,3.531500e+02,8.826956e+01,3.041752e+05,4.467874e+04,8.789509e+06,1.029925e+03
9.373868e-02,3.541500e+02,8.821656e+01,3.079920e+05,4.650838e+04,8.806283e+06,1.029307e+03
9.373868e-02,3.551500e+02,8.816325e+01,3.118094e+05,4.840198e+04,8.822894e+06,1.028685e+03
9.373868e-02,3.561500e+02,8.810964e+01,3.156273e+05,5.036133e+04,8.839341e+06,1.028059e+03
9.373868e-02,3.571500e+02,8.805572e+01,3.194457e+05,5.238821e+04,8.855624e+06,1.027430e+03
9.373868e-02,3.581500e+02,8.800150e+01,3.232647e+05,5.448444e+04,8.871744e+06,1.026798e+03
1.366460e-01,2.981500e+02,1.302457e+02,9.033939e+04,2.752672e+03,1.156715e+07,1.083407e+03
1.366460e-01,2.991500e+02,1.301944e+02,9.399604e+04,2.954659e+03,1.160803e+07,1.082980e+03
1.366460e-01,3.001500e+02,1.301425e+02,9.765339e+04,3.166480e+03,1.164866e+07,1.082549e+03
1.366460e-01,3.011500e+02,1.300902e+02,1.013115e+05,3.388349e+03,1.168905e+07,1.082114e+03
1.366460e-01,3.021500e+02,1.300374e+02,1.049702e+05,3.620507e+03,1.172918e+07,1.081675e+03
1.366460e-01,3.031500e+02,1.299842e+02,1.086296e+05,3.863220e+03,1.176906e+07,1.081232e+03
1.366460e-01,3.041500e+02,1.299304e+02,1.122898e+05,4.116783e+03,1.180870e+07,1.080785e+03
1.366460e-01,3.051500e+02,1.298762e+02,1.159505e+05,4.381519e+03,1.184808e+07,1.080334e+03
1.366460e-01,3.061500e+02,1.298215e+02,1.196119e+05,4.657778e+03,1.188720e+07,1.079879e+03
1.366460e-01,3.071500e+02,1.297664e+02,1.232740e+05,4.945935e+03,1.192607e+07,1.079420e+03
1.366460e-01,3.081500e+02,1.297108e+02,1.269367e+05,5.246396e+03,1.196469e+07,1.078958e+03
1.366460e-01,3.091500e+02,1.296547e+02,1.306000e+05,5.559593e+03,1.200305e+07,1.078491e+03
1.366460e-01,3.101500e+02,1.295982e+02,1.342640e+05,5.885983e+03,1.204115e+07,1.078021e+03
1.366460e-01,3.111500e+02,1.295412e+02,1.379285e+05,6.226054e+03,1.207899e+07,1.077547e+03
1.366460e-01,3.121500e+02,1.294838e+02,1.415936e+05,6.580319e+03,1.211658e+07,1.077069e+03
1.366460e-01,3.131500e+02,1.294259e+02,1.452594e+05,6.949319e+03,1.215390e+07,1.076588e+03
1.366460e-01,3.141500e+02,1.293675e+02,1.489257e+05,7.333622e+03,1.219096e+07,1.076102e+03
1.366460e-01,3.151500e+02,1.293088e+02,1.525925e+05,7.733825e+03,1.222776e+07,1.075614e+03
1.366460e-01,3.161500e+02,1.292495e+02,1.562600e+05,8.150550e+03,1.226430e+07,1.075121e+03
1.366460e-01,3.171500e+02,1.291899e+02,1.599280e+05,8.584447e+03,1.230058e+07,1.074625e+03
1.366460e-01,3.181500e+02,1.291298e+02,1.635965e+05,9.036195e+03,1.233659e+07,1.074125e+03
1.366460e-01,3.191500e+02,1.290692e+02,1.672656e+05,9.506499e+03,1.237233e+07,1.073621e+03
1.366460e-01,3.201500e+02,1.290083e+02,1.709352e+05,9.996090e+03,1.240781e+07,1.073114e+03
1.366460e-01,3.211500e+02,1.289469e+02,1.746054e+05,1.050573e+04,1.244302e+07,1.072603e+03
1.366460e-01,3.221500e+02,1.288850e+02,1.782760e+05,1.103620e+04,1.247797e+07,1.072089e+03
1.366460e-01,3.231500e+02,1.288228e+02,1.819472e+05,1.158833e+04,1.251264e+07,1.071571e+03
1.366460e-01,3.241500e+02,1.287601e+02,1.856189e+05,1.216294e+04,1.254705e+07,1.071050e+03
1.366460e-01,3.251500e+02,1.286970e+02,1.892911e+05,1.276092e+04,1.258118e+07,1.070525e+03
1.366460e-01,3.261500e+02,1.286335e+02,1.929638e+05,1.338315e+04,1.261505e+07,1.069996e+03
1.366460e-01,3.271500e+02,1.285695e+02,1.966370e+05,1.403056e+04,1.264864e+07,1.069465e+03
1.366460e-01,3.281500e+02,1.285052e+02,2.003107e+05,1.470411e+04,1.268196e+07,1.068929e+03
1.366460e-01,3.291500e+02,1.284404e+02,2.039848e+05,1.540477e+04,1.271501e+07,1.068391e+03
1.366460e-01,3.301500e+02,1.283752e+02,2.076595e+05,1.613354e+04,1.274779e+07,1.067848e+03
1.366460e-01,3.311500e+02,1.283097e+02,2.113346e+05,1.689146e+04,1.278029e+07,1.067303e+03
1.366460e-01,3.321500e+02,1.282437e+02,2.150101e+05,1.767960e+04,1.281252e+07,1.066754e+03
1.366460e-01,3.331500e+02,1.281773e+02,2.186862e+05,1.849903e+04,1.284447e+07,1.066202e+03
1.366460e-01,3.341500e+02,1.281105e+02,2.223626e+05,1.935088e+04,1.287614e+07,1.065646e+03
1.366460e-01,3.351500e+02,1.280433e+02,2.260396e+05,2.023628e+04,1.290754e+07,1.065087e+03
1.366460e-01,3.361500e+02,1.279757e+02,2.297170e+05,2.115641e+04,1.293865e+07,1.064525e+03
1.366460e-01,3.371500e+02,1.279077e+02,2.333948e+05,2.211247e+04,1.296950e+07,1.063959e+03
1.366460e-01,3.381500e+02,1.278393e+02,2.370731e+05,2.310567e+04,1.300006e+07,1.063390e+03
1.366460e-01,3.391500e+02,1.277705e+02,2.407518e+05,2.413727e+04,1.303034e+07,1.062818e+03
1.366460e-01,3.401500e+02,1.277013e+02,2.444310e+05,2.520856e+04,1.306034e+07,1.062242e+03
1.366460e-01,3.411500e+02,1.276317e+02,2.481106e+05,2.632083e+04,1.309006e+07,1.061664e+03
1.366460e-01,3.421500e+02,1.275617e+02,2.517906e+05,2.747542e+04,1.311950e+07,1.061082e+03
1.366460e-01,3.431500e+02,1.274914e+02,2.554711e+05,2.867370e+04,1.314866e+07,1.060496e+03
1.366460e-01,3.441500e+02,1.274207e+02,2.591520e+05,2.991705e+04,1.317753e+07,1.059908e+03
1.366460e-01,3.451500e+02,1.273495e+02,2.628333e+05,3.120688e+04,1.320612e+07,1.059316e+03
1.366460e-01,3.461500e+02,1.272780e+02,2.665151e+05,3.254465e+04,1.323443e+07,1.058722e+03
1.366460e-01,3.471500e+02,1.272062e+02,2.701973e+05,3.393182e+04,1.326245e+07,1.058124e+03
1.366460e-01,3.481500e+02,1.271339e+02,2.738799e+05,3.536989e+04,1.329019e+07,1.057523e+03
1.366460e-01,3.491500e+02,1.270613e+02,2.775629e+05,3.686038e+04,1.331764e+07,1.056918e+03
1.366460e-01,3.501500e+02,1.269882e+02,2.812463e+05,3.840486e+04,1.334481e+07,1.056311e+03
1.366460e-01,3.511500e+02,1.269148e+02,2.849302e+05,4.000489e+04,1.337169e+07,1.055700e+03
1.366460e-01,3.521500e+02,1.268411e+02,2.886145e+05,4.166209e+04,1.339828e+07,1.055087e+03
