# Feed Mass Frac,# Mono to Di Ratio,Temperature,Density,Enthalpy,Vapor Pressure
1.000000e-01,2.000000e+00,3.081500e+02,1.122293e+03,-1.194441e+05,5.109838e+03
1.000000e-01,2.000000e+00,3.181500e+02,1.117214e+03,-1.543913e+05,8.710828e+03
1.000000e-01,2.000000e+00,3.281500e+02,1.111904e+03,-1.893273e+05,1.430896e+04
1.000000e-01,2.000000e+00,3.381500e+02,1.106346e+03,-2.241902e+05,2.272639e+04
1.000000e-01,2.000000e+00,3.481500e+02,1.100538e+03,-2.589482e+05,3.500521e+04
1.000000e-01,2.000000e+00,3.581500e+02,1.094483e+03,-2.935875e+05,5.242931e+04
1.000000e-01,2.000000e+00,3.681500e+02,1.088192e+03,-3.281061e+05,7.653962e+04
1.000000e-01,4.000000e+00,2.981500e+02,1.113236e+03,-8.593995e+04,2.881026e+03
1.000000e-01,4.000000e+00,3.081500e+02,1.108255e+03,-1.213221e+05,5.116188e+03
1.000000e-01,4.000000e+00,3.181500e+02,1.103095e+03,-1.568202e+05,8.720817e+03
1.000000e-01,4.000000e+00,3.281500e+02,1.097703e+03,-1.923284e+05,1.432372e+04
1.000000e-01,4.000000e+00,3.381500e+02,1.092057e+03,-2.277913e+05,2.274684e+04
1.000000e-01,4.000000e+00,3.481500e+02,1.086150e+03,-2.631832e+05,3.503160e+04
1.000000e-01,4.000000e+00,3.581500e+02,1.079984e+03,-2.984974e+05,5.246055e+04
1.000000e-01,4.000000e+00,3.681500e+02,1.073565e+03,-3.337399e+05,7.657231e+04
