,Conc,T,pH,titrantAmount,deltaCalcite,deltaAnhydrite
125,3.0,90.0,6.000000000000001,0.09388120094737477,3.197442310920451e-14,-1.3695711231775931e-12
126,3.0,90.0,6.999999999999998,-0.04900989397576607,3.232969447708456e-13,-1.7763568394002505e-15
127,3.0,90.0,8.000000000000002,-0.004747978118648326,-3.552713678800501e-14,1.857412001982084e-10
128,3.0,90.0,9.0,-0.007219033079762616,0.0,2.389057840446185e-10
129,3.0,90.0,10.0,-0.05592385046669968,0.0,-3.161915174132446e-13
130,3.0,100.0,5.999999999999999,0.11199105861206583,-3.1086244689504383e-13,-4.217959315155895e-11
131,3.0,100.0,6.999999999999986,-0.04483475595223568,3.3590907833058736e-12,-1.7763568394002505e-15
132,3.0,100.0,8.000000000000016,-0.004598188616374363,1.3145040611561853e-13,5.782219147931755e-10
133,3.0,100.0,9.0,-0.011400384613335143,-1.7763568394002505e-15,4.854072699345124e-10
134,3.0,100.0,10.0,-0.0808214376948381,0.0,-9.237055564881302e-14
135,4.0,20.0,6.000000000000573,0.005222781697336902,0.1394114389831831,0.25068299986681986
136,4.0,20.0,7.0,-0.2057054799115678,9.965361869035405e-12,-1.545430450278218e-13
137,4.0,20.0,8.0,-0.022284256180600585,-6.927791673660977e-14,5.346834086594754e-13
138,4.0,20.0,9.0,-0.0029637221479191025,7.105427357601002e-15,-9.928555755323032e-10
139,4.0,20.0,10.0,-0.0012583669694636367,0.0,-4.9116266609416925e-12
140,4.0,30.0,6.0,0.18356778742053217,3.552713678800501e-15,1.1403873401150122e-09
141,4.0,30.0,6.999999999999998,-0.1624649352753959,3.034905660115328e-11,-1.7053025658242404e-13
142,4.0,30.0,8.0,-0.01766899019863308,-1.7053025658242404e-13,1.4781065260649484e-11
143,4.0,30.0,9.0,-0.002391653690398355,1.7763568394002505e-15,-1.2734702181660396e-10
144,4.0,30.0,10.0,-0.0023425350213841295,0.0,-3.844036200462142e-12
145,4.0,40.0,5.999999999999999,0.15057664945474994,-1.4210854715202004e-14,2.844231516974105e-10
146,4.0,40.0,7.0,-0.13224472506826712,6.6986416413783445e-12,-7.585043704239069e-13
147,4.0,40.0,8.0,-0.01419346833987587,8.348877145181177e-14,4.295230837669806e-12
148,4.0,40.0,9.0,-0.002116857814778072,-1.7763568394002505e-15,-4.890328142437284e-10
149,4.0,40.0,10.0,-0.004590177167480043,0.0,-2.1671553440683056e-12
150,4.0,50.0,6.000000000000001,0.1281928384494953,1.2434497875801753e-14,3.813838134192338e-10
151,4.0,50.0,7.0,-0.11041218610243726,5.943689984633238e-12,-4.405364961712621e-13
152,4.0,50.0,8.0,-0.011543738942512805,5.329070518200751e-15,3.197442310920451e-14
153,4.0,50.0,9.0,-0.0021828187253928578,-1.7763568394002505e-15,-1.5522694241099089e-10
154,4.0,50.0,10.0,-0.008858269523780743,0.0,-5.293543381412746e-13
155,4.0,60.0,6.000000000000001,0.11438567052864419,-1.1723955140041653e-13,-3.168665330122167e-11
156,4.0,60.0,7.0,-0.09421984887763628,3.625544309215911e-12,-1.2434497875801753e-14
157,4.0,60.0,8.0,-0.009527049574489278,1.7763568394002505e-14,9.14823772291129e-13
158,4.0,60.0,9.0,-0.0027034479171834432,-1.7763568394002505e-15,-2.4497737172168854e-11
159,4.0,60.0,10.0,-0.016422067086945363,-1.7763568394002505e-15,-6.217248937900877e-14
160,4.0,70.0,5.999999999999999,0.10873069844191265,-6.394884621840902e-14,2.339604066037282e-10
161,4.0,70.0,7.0,-0.08197175588712872,2.1682211581719457e-11,-4.973799150320701e-14
162,4.0,70.0,8.0,-0.00802391086692969,-5.3290705182007514e-14,4.1389114358025836e-13
163,4.0,70.0,9.0,-0.0038835688504709593,0.0,-6.323830348264892e-12
164,4.0,70.0,10.0,-0.02892616777406851,0.0,2.1884716261411086e-12
165,4.0,80.0,6.000000000000001,0.11192111269634372,7.105427357601002e-15,1.1605116867485776e-10
166,4.0,80.0,7.0,-0.07258460775679239,1.0977885267493548e-12,-2.842170943040401e-14
167,4.0,80.0,8.0,-0.0069666929106813056,-5.684341886080802e-14,2.220446049250313e-13
168,4.0,80.0,8.999999999999998,-0.006041666313872484,-3.552713678800501e-15,-1.3027801060161437e-11
169,4.0,80.0,10.0,-0.048019235785825086,0.0,-4.867217739956686e-13
170,4.0,90.0,6.000000000000001,0.12517493460423934,-4.757083615913871e-12,2.823377087679546e-10
171,4.0,90.0,7.0,-0.06534652530086779,2.913225216616411e-13,-8.881784197001252e-15
172,4.0,90.0,8.0,-0.006330637491592288,-3.552713678800501e-15,6.927791673660977e-14
173,4.0,90.0,9.0,-0.00962537743968133,0.0,-3.6344260934129125e-12
174,4.0,90.0,10.0,-0.07456513395555234,0.0,7.73354713601293e-11
175,4.0,100.0,6.0,0.1493214114852037,-1.9984014443252818e-12,5.011990822367807e-11
176,4.0,100.0,7.0,-0.059779674598786435,7.513989430663059e-13,-7.105427357601002e-15
177,4.0,100.0,8.0,-0.00613091815514413,8.881784197001252e-15,3.730349362740526e-14
178,4.0,100.0,9.0,-0.015200512817112844,0.0,-7.242206834234821e-12
179,4.0,100.0,10.0,-0.10776191692645723,0.0,-7.809752844423201e-11
180,5.0,20.0,5.999999999822814,0.006528477121410724,0.1742642983978957,0.3133537487168372
181,5.0,20.0,7.0,-0.25713184932868444,5.757172516496212e-12,-4.600764214046649e-13
182,5.0,20.0,7.999999999999998,-0.02785532022576436,-7.638334409421077e-14,9.841016890277388e-13
183,5.0,20.0,9.0,-0.00370465268490135,1.7763568394002505e-15,-5.372680078608028e-10
184,5.0,20.0,10.0,-0.0015729587118357233,0.0,-9.730882766234572e-12
185,5.0,30.0,6.0,0.22945973427632566,-3.8546943414985435e-13,4.462918923309189e-11
186,5.0,30.0,7.0,-0.20308116905349444,1.7763568394002505e-15,1.4210854715202004e-14
187,5.0,30.0,8.0,-0.022086237748022805,-4.920508445138694e-13,2.525979425627156e-12
188,5.0,30.0,9.0,-0.0029895671129981866,1.7763568394002505e-15,-3.6910208223162044e-10
189,5.0,30.0,10.0,-0.0029281687767264654,0.0,-6.162181875879469e-12
190,5.0,40.0,5.999999999999998,0.18822081181760203,5.329070518200751e-13,4.008544607358999e-10
191,5.0,40.0,6.999999999999998,-0.16530590632729047,8.473222123939195e-13,-2.5014958993097025e-09
192,5.0,40.0,8.0,-0.01774183542453996,-1.971756091734278e-13,2.0580319670671088e-09
193,5.0,40.0,9.0,-0.0026460722684752405,0.0,-2.2181190217906988e-10
194,5.0,40.0,10.0,-0.005737721459349743,0.0,-5.568878691519785e-12
195,5.0,50.0,6.0,0.16024104806188572,8.881784197001252e-15,1.5441052880760253e-09
196,5.0,50.0,6.999999999999994,-0.13801523262542661,4.980904577678302e-12,-1.0658141036401503e-14
