# Temperature,Flow,Enthalpy,Vap Pressure,Osmotic Pressure,Diffusivity,Osmotic Coeff,Density,Viscosity
3.202333e+02,1.975000e-01,1.600880e+05,9.533688e+03,2.010335e+07,2.341705e-09,1.089601e+00,1.110189e+03,8.121830e-04
3.202333e+02,2.079167e-01,1.584324e+05,9.450124e+03,2.143201e+07,2.360444e-09,1.103417e+00,1.115835e+03,8.289060e-04
3.202333e+02,2.183333e-01,1.568110e+05,9.365676e+03,2.278887e+07,2.376938e-09,1.117298e+00,1.121417e+03,8.461588e-04
3.202333e+02,2.287500e-01,1.552250e+05,9.280383e+03,2.417295e+07,2.390810e-09,1.131188e+00,1.126936e+03,8.639831e-04
3.202333e+02,2.391667e-01,1.536753e+05,9.194283e+03,2.558307e+07,2.401729e-09,1.145034e+00,1.132393e+03,8.824197e-04
3.202333e+02,2.495833e-01,1.521627e+05,9.107418e+03,2.701783e+07,2.409405e-09,1.158780e+00,1.137790e+03,9.015085e-04
3.202333e+02,2.600000e-01,1.506883e+05,9.019828e+03,2.847562e+07,2.413582e-09,1.172374e+00,1.143127e+03,9.212882e-04
3.256500e+02,1.000000e-02,2.171207e+05,1.415349e+04,8.639367e+05,2.691930e-09,9.116544e-01,9.933912e+02,5.131455e-04
3.256500e+02,2.041667e-02,2.146920e+05,1.406643e+04,1.771018e+06,2.580889e-09,9.153485e-01,1.000466e+03,5.230009e-04
3.256500e+02,3.083333e-02,2.123100e+05,1.397873e+04,2.688407e+06,2.493555e-09,9.200742e-01,1.007432e+03,5.334345e-04
3.256500e+02,4.125000e-02,2.099706e+05,1.389020e+04,3.618940e+06,2.426911e-09,9.257756e-01,1.014296e+03,5.443165e-04
3.256500e+02,5.166667e-02,2.076708e+05,1.380067e+04,4.565234e+06,2.378224e-09,9.323972e-01,1.021061e+03,5.555474e-04
3.256500e+02,6.208333e-02,2.054082e+05,1.371003e+04,5.529688e+06,2.345015e-09,9.398833e-01,1.027733e+03,5.670533e-04
3.256500e+02,7.250000e-02,2.031811e+05,1.361817e+04,6.514479e+06,2.325037e-09,9.481782e-01,1.034315e+03,5.787817e-04
3.256500e+02,8.291667e-02,2.009882e+05,1.352502e+04,7.521564e+06,2.316257e-09,9.572264e-01,1.040811e+03,5.906979e-04
3.256500e+02,9.333333e-02,1.988286e+05,1.343053e+04,8.552683e+06,2.316833e-09,9.669721e-01,1.047224e+03,6.027826e-04
3.256500e+02,1.037500e-01,1.967021e+05,1.333466e+04,9.609354e+06,2.325100e-09,9.773596e-01,1.053556e+03,6.150289e-04
3.256500e+02,1.141667e-01,1.946085e+05,1.323739e+04,1.069287e+07,2.339553e-09,9.883334e-01,1.059809e+03,6.274401e-04
