# Temperature,Flow,Enthalpy,Vap Pressure,Osmotic Pressure,Diffusivity,Density,Viscosity
3.094000e+02,2.079167e-01,1.515975e+05,2.783270e+04,1.896864e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,2.183333e-01,1.515975e+05,2.774612e+04,1.991898e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,2.287500e-01,1.515975e+05,2.766008e+04,2.086931e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,2.391667e-01,1.515975e+05,2.757457e+04,2.181964e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,2.495833e-01,1.515975e+05,2.748959e+04,2.276997e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,2.600000e-01,1.515975e+05,2.740513e+04,2.372031e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,1.000000e-02,1.742500e+05,3.359930e+04,9.282915e+05,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,2.041667e-02,1.742500e+05,3.348822e+04,1.895262e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,3.083333e-02,1.742500e+05,3.337787e+04,2.862232e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,4.125000e-02,1.742500e+05,3.326824e+04,3.829202e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,5.166667e-02,1.742500e+05,3.315934e+04,4.796173e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,6.208333e-02,1.742500e+05,3.305114e+04,5.763143e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,7.250000e-02,1.742500e+05,3.294365e+04,6.730113e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,8.291667e-02,1.742500e+05,3.283685e+04,7.697084e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,9.333333e-02,1.742500e+05,3.273075e+04,8.664054e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,1.037500e-01,1.742500e+05,3.262533e+04,9.631024e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,1.141667e-01,1.742500e+05,3.252058e+04,1.059799e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,1.245833e-01,1.742500e+05,3.241651e+04,1.156497e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,1.350000e-01,1.742500e+05,3.231310e+04,1.253194e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,1.454167e-01,1.742500e+05,3.221035e+04,1.349891e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,1.558333e-01,1.742500e+05,3.210825e+04,1.446588e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,1.662500e-01,1.742500e+05,3.200679e+04,1.543285e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,1.766667e-01,1.742500e+05,3.190598e+04,1.639982e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,1.870833e-01,1.742500e+05,3.180579e+04,1.736679e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,1.975000e-01,1.742500e+05,3.170624e+04,1.833376e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,2.079167e-01,1.742500e+05,3.160730e+04,1.930073e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,2.183333e-01,1.742500e+05,3.150898e+04,2.026770e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,2.287500e-01,1.742500e+05,3.141127e+04,2.123467e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,2.391667e-01,1.742500e+05,3.131417e+04,2.220164e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,2.495833e-01,1.742500e+05,3.121766e+04,2.316861e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.148167e+02,2.600000e-01,1.742500e+05,3.112175e+04,2.413558e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,1.000000e-02,1.969025e+05,3.795066e+04,9.442635e+05,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,2.041667e-02,1.969025e+05,3.782519e+04,1.927871e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,3.083333e-02,1.969025e+05,3.770056e+04,2.911479e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,4.125000e-02,1.969025e+05,3.757673e+04,3.895087e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,5.166667e-02,1.969025e+05,3.745372e+04,4.878695e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,6.208333e-02,1.969025e+05,3.733152e+04,5.862302e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,7.250000e-02,1.969025e+05,3.721010e+04,6.845910e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,8.291667e-02,1.969025e+05,3.708948e+04,7.829518e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,9.333333e-02,1.969025e+05,3.696963e+04,8.813126e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,1.037500e-01,1.969025e+05,3.685056e+04,9.796734e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,1.141667e-01,1.969025e+05,3.673225e+04,1.078034e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,1.245833e-01,1.969025e+05,3.661470e+04,1.176395e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,1.350000e-01,1.969025e+05,3.649789e+04,1.274756e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,1.454167e-01,1.969025e+05,3.638183e+04,1.373116e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,1.558333e-01,1.969025e+05,3.626651e+04,1.471477e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,1.662500e-01,1.969025e+05,3.615192e+04,1.569838e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,1.766667e-01,1.969025e+05,3.603804e+04,1.668199e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,1.870833e-01,1.969025e+05,3.592489e+04,1.766560e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,1.975000e-01,1.969025e+05,3.581244e+04,1.864920e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,2.079167e-01,1.969025e+05,3.570069e+04,1.963281e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,2.183333e-01,1.969025e+05,3.558964e+04,2.061642e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,2.287500e-01,1.969025e+05,3.547927e+04,2.160003e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,2.391667e-01,1.969025e+05,3.536959e+04,2.258364e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,2.495833e-01,1.969025e+05,3.526059e+04,2.356724e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.202333e+02,2.600000e-01,1.969025e+05,3.515225e+04,2.455085e+07,1.471871e-09,1.000000e+03,1.055250e-03
