# Water Recovery,Inlet Salinity,LCOW,SEC,Evaporator area,Evaporator temperature,Evaporator pressure,Compressor pressure ratio
7.111111e-01,3.500000e-02,2.622620e+00,7.674053e+00,8.749686e+02,2.981517e+02,2.145458e+04,1.190111e+00
7.111111e-01,4.777778e-02,2.629644e+00,7.699145e+00,8.909826e+02,2.981517e+02,2.107872e+04,1.190780e+00
7.111111e-01,6.055556e-02,2.637417e+00,7.727238e+00,9.078431e+02,2.981517e+02,2.067596e+04,1.191530e+00
7.111111e-01,7.333333e-02,2.646066e+00,7.758894e+00,9.256479e+02,2.981517e+02,2.024331e+04,1.192375e+00
7.111111e-01,8.611111e-02,2.655748e+00,7.794823e+00,9.445141e+02,2.981517e+02,1.977730e+04,1.193335e+00
7.111111e-01,9.888889e-02,2.666663e+00,7.835930e+00,9.645830e+02,2.981517e+02,1.927394e+04,1.194434e+00
7.111111e-01,1.116667e-01,2.679062e+00,7.883394e+00,9.860276e+02,2.981517e+02,1.872852e+04,1.195704e+00
7.111111e-01,1.244444e-01,2.693273e+00,7.938776e+00,1.009063e+03,2.981517e+02,1.813557e+04,1.197188e+00
7.111111e-01,1.372222e-01,2.709728e+00,8.004182e+00,1.033959e+03,2.981517e+02,1.748858e+04,1.198943e+00
7.111111e-01,1.500000e-01,2.729009e+00,8.082524e+00,1.061063e+03,2.981517e+02,1.677981e+04,1.201047e+00
7.555556e-01,3.500000e-02,2.625427e+00,7.684449e+00,9.318040e+02,2.981517e+02,2.127059e+04,1.190449e+00
7.555556e-01,4.777778e-02,2.634232e+00,7.716109e+00,9.499659e+02,2.981517e+02,2.080801e+04,1.191294e+00
7.555556e-01,6.055556e-02,2.644201e+00,7.752479e+00,9.692928e+02,2.981517e+02,2.030507e+04,1.192266e+00
7.555556e-01,7.333333e-02,2.655582e+00,7.794670e+00,9.899611e+02,2.981517e+02,1.975623e+04,1.193393e+00
7.555556e-01,8.611111e-02,2.668699e+00,7.844167e+00,1.012192e+03,2.981517e+02,1.915491e+04,1.194718e+00
7.555556e-01,9.888889e-02,nan,nan,nan,nan,nan,nan
7.555556e-01,1.116667e-01,2.702032e+00,7.973997e+00,1.062561e+03,2.981517e+02,1.776154e+04,1.198197e+00
7.555556e-01,1.244444e-01,2.723670e+00,8.061268e+00,1.091558e+03,2.981517e+02,1.694821e+04,1.200541e+00
7.555556e-01,1.372222e-01,2.750101e+00,8.170939e+00,1.123932e+03,2.981517e+02,1.603872e+04,1.203493e+00
7.555556e-01,1.500000e-01,2.783139e+00,8.312597e+00,1.160629e+03,2.981517e+02,1.501494e+04,1.207314e+00
